"CLASS","SUBCLASS","MANUF"
"New",NULL,"Amazon"
"New",NULL,"APACHE"
"New",NULL,"Apache-Soft"
"New",NULL,"APC"
"New",NULL,"APPLE"
"New",NULL,"Aptean"
"New",NULL,"Arkadin"
"New",NULL,"Atlassian"
"New",NULL,"Avaya"
"New",NULL,"Axway"
"New",NULL,"Base CRM"
"New",NULL,"BeTrend Cor"
"New",NULL,"BidSwitch"
"New",NULL,"Bitvise"
"New",NULL,"BlueCamroo"
"New",NULL,"Blue Coat S"
"New",NULL,"BMC"
"New",NULL,"Bomara Asso"
"New",NULL,"BuffaloTech"
"New",NULL,"BuiltWith"
"New",NULL,"BuzzBoard"
"New",NULL,"CA"
"New",NULL,"CallRail In"
"New",NULL,"CallTrackin"
"New",NULL,"Catalyst Fr"
"New",NULL,"Caucho Tech"
"New",NULL,"Channeltivi"
"New",NULL,"CHECKPOINT"
"New",NULL,"Cisco"
"New",NULL,"Citrix"
"New",NULL,"CiviCRM"
"New",NULL,"CKSource sp"
"New",NULL,"Clari"
"New",NULL,"Claritysoft"
"New",NULL,"Clearbit"
"New",NULL,"Close.io"
"New",NULL,"CMU"
"New",NULL,"COGENTCOMM"
"New",NULL,"COMMUNIGATE"
"New",NULL,"ConnectWise"
"New",NULL,"Conrep  Inc"
"New",NULL,"Cymphonix"
"New",NULL,"Datto  Inc."
"New",NULL,"Daxko  Llc"
"New",NULL,"Dell"
"New",NULL,"DELTEK"
"New",NULL,"Digi"
"New",NULL,"DIGICERT"
"New",NULL,"Digi Intern"
"New",NULL,"Digital Alc"
"New",NULL,"DigitalRivr"
"New",NULL,"DirecTV"
"New",NULL,"Django Soft"
"New",NULL,"D-LINK"
"New",NULL,"Docker"
"New",NULL,"DocSend  In"
"New",NULL,"Drift.com"
"New",NULL,"Drobo"
"New",NULL,"easyDNS"
"New",NULL,"ECLIPSE"
"New",NULL,"eCosCentric"
"New",NULL,"EdgeCast"
"New",NULL,"Efficient N"
"New",NULL,"Elstcsearch"
"New",NULL,"EMC"
"New",NULL,"EPiServer"
"New",NULL,"ESET"
"New",NULL,"Exact"
"New",NULL,"Eyeota"
"New",NULL,"Flywheel -"
"New",NULL,"Fortinet"
"New",NULL,"Freshworks"
"New",NULL,"Gentoo Foun"
"New",NULL,"Global Shop"
